Quest Title,Description,Task (Item & Quantity),Item ID,Reward(s),Dependencies,Notes
Alloy Oop!,"Jumpstart your engineering adventure by grabbing some Andesite Alloy. It’s the glue that holds your wildest contraptions together-literally and figuratively!","Andesite Alloy x8","create:andesite_alloy","Zinc Block x1",,Beginner
Shafted!,"Things are about to get a-rotational! Collect shafts and get ready to spin your wheels (and everything else).","Shaft x8","create:shaft","Cogwheel x4",Alloy Oop!,Beginner
Cogito Ergo Sum,"I think, therefore I spin. Craft cogwheels and get your gears turning-philosophically and mechanically!","Cogwheel x4","create:cogwheel","Large Cogwheel x2",Shafted!,Beginner
Mega Cog Mania,"Go big or go home! Large cogwheels mean large ambitions. Build some and watch your machines go from zero to hero.","Large Cogwheel x2","create:large_cogwheel","Shaft x4",Cogito Ergo Sum,Beginner
Case Closed,"Wrap your builds in style with Andesite Casings. Because even machines deserve a makeover.","Andesite Casing x4","create:andesite_casing","Belt Connector x8",Mega Cog Mania,Beginner
Crank Yankers,"Hand cranks: for when you want to give your machines a little elbow grease. Get cranking!","Hand Crank x1","create:hand_crank","Andesite Alloy x2",Case Closed,Beginner
Bearing Gifts,"Mechanical bearings: the gift that keeps on spinning. Use them to rotate entire contraptions (and impress your friends).","Mechanical Bearing x1","create:mechanical_bearing","Bacon Sandwich x1",Case Closed,Beginner
It’s About Time!,"Clockwork bearings: for the engineer who likes to keep things on schedule. Tick-tock, let’s rock!","Clockwork Bearing x1","create:clockwork_bearing","Redstone Dust x8",Bearing Gifts,Beginner
Chassis the Rainbow,"Radial chassis: for when your builds need to go full circle. Stick your blocks together and let the good times roll.","Radial Chassis x1","create:radial_chassis","Super Glue x1",Bearing Gifts,Beginner
Chassis Express,"Linear chassis: all aboard the automation station! Perfect for machines that like to move in straight lines.","Linear Chassis x3","create:linear_chassis","Super Glue x1",Bearing Gifts,Beginner
Stick With It,"Super Glue: the secret sauce for keeping your builds together. Warning: may cause excessive contraption creativity.","Super Glue x1","create:super_glue","Linear Chassis x2",Bearing Gifts,Beginner
Cart Blanche,"Cart Assemblers: your ticket to a world of moving machines. All aboard for automation!","Cart Assembler x1","create:cart_assembler","Rail x16",Bearing Gifts,Beginner
Pulley Wonka,"Rope pulleys: for lifting your builds (and your spirits) to new heights.","Rope Pulley x1","create:rope_pulley","String x16",Bearing Gifts,Beginner
Pressing Engagement,"Mechanical Press: flatten, smash, and impress your friends with shiny new sheets. It’s a real pressing matter.","Mechanical Press x1","create:mechanical_press","Raw Zinc x8",Case Closed,Intermediate
Sheet Happens,"Iron and copper sheets: for when you want your builds to shine. Sheet-tastic!","Iron Sheet x4, Copper Sheet x1","create:iron_sheet,create:copper_sheet","Iron Sheet x4, Fermented Spider Eye x2",Pressing Engagement,Intermediate
Brass Kicker,"Brass sheets: because your machines deserve the golden treatment.","Brass Sheet x1","create:brass_sheet","Brass Block x1",Pressing Engagement,Intermediate
Gold Standard,"Gold sheets: for those who want their builds to be worth their weight in gold.","Golden Sheet x1","create:golden_sheet","Heart of the Sea x1",Pressing Engagement,Intermediate
Pipe Dream,"Start your fluid engineering journey-pipes and pumps and puddles, oh my!","Fluid Pipe x8, Mechanical Pump x1","create:fluid_pipe,create:mechanical_pump","Cuckoo Clock x1, Slime Ball x4",Sheet Happens,Intermediate
Valve You Forever,"Fluid valves: because sometimes you just need to stop and control the flow.","Fluid Valve x1","create:fluid_valve","Green Valve Handle x1, Red Valve Handle x1",Pipe Dream,Intermediate
Pipe Down!,"Smart pipes: for when your fluids need a little direction (and smarts).","Smart Fluid Pipe x1","create:smart_fluid_pipe","Fluid Pipe x4",Pipe Dream,Intermediate
Tank You Kindly,"Fluid tanks: store all the juice your machines need. Hydration station!","Fluid Tank x4","create:fluid_tank","Fluid Pipe x4",Pipe Dream,Intermediate
Spout and About,"Spouts: fill up your buckets and bottles-no more running on empty!","Spout x1","create:spout","Item Drain x1",Pipe Dream,Intermediate
Hose Before Bros,"Hose pulleys: for moving fluids up, down, and all around. Splash zone ahead!","Hose Pulley x1","create:hose_pulley","Hand Crank x1",Pipe Dream,Intermediate
