Quest Title,Description,Task (Item & Quantity),Reward(s),Dependencies,Notes
Alloy Adventurer,"Start your engineering legend! Gather the magical Andesite Alloy that powers all things Create.","Andesite Alloy x8","Zinc Block x1",,Beginner
Spin Me Right Round,"Shafts: the backbone of every wacky machine! Collect a handful and get things spinning.","Shaft x8","Cogwheel x4",Alloy Adventurer,Beginner
Cog Crazy,"Big or small, cogwheels make the world go 'round. Build a set and watch the gears turn!","Cogwheel x4","Large Cogwheel x2",Spin Me Right Round,Beginner
Mega Gear Up,"Supersize your motion! Large cogwheels are perfect for big, bold builds.","Large Cogwheel x2","Shaft x4",Cog Crazy,Beginner
Casing the Joint,"Wrap your machines in style with sturdy Andesite Casings. Fashion and function!","Andesite Casing x4","Belt Connector x8",Mega Gear Up,Beginner
Crank It Up!,"Hand cranks: for when you just need to give things a little push. Get cranking!","Hand Crank x1","Andesite Alloy x2",Casing the Joint,Beginner
Spin Doctor,"Mechanical bearings: for spinning entire contraptions! Let’s get dizzy.","Mechanical Bearing x1","Bacon Sandwich x1",Casing the Joint,Beginner
Time to Turn,"Clockwork bearings: spin on a schedule and impress your friends!","Clockwork Bearing x1","Redstone Dust x8",Spin Doctor,Beginner
Chassis Champion,"Radial chassis: the secret to round-and-round fun. Build one and stick your contraption together!","Radial Chassis x1","Super Glue x1",Spin Doctor,Beginner
Chassis Express,"Linear chassis: perfect for making machines move in a straight line. All aboard!","Linear Chassis x3","Super Glue x1",Spin Doctor,Beginner
Sticky Business,"Super Glue: stick your blocks together and never worry about things falling apart again.","Super Glue x1","Linear Chassis x2",Spin Doctor,Beginner
All Aboard!,"Cart Assemblers: build your own mini rollercoaster of moving machines!","Cart Assembler x1","Rail x16",Spin Doctor,Beginner
Up, Up, and Away!,"Rope pulleys: for all your elevator and drawbridge dreams.","Rope Pulley x1","String x16",Spin Doctor,Beginner
Press to Impress,"Mechanical Press: flatten, smash, and impress your friends with shiny new sheets.","Mechanical Press x1","Raw Zinc x8",Casing the Joint,Intermediate
Sheet Happens,"Make iron and copper sheets for shiny, high-tech builds. Sheet-tastic!","Iron Sheet x4, Copper Sheet x1","Iron Sheet x4, Fermented Spider Eye x2",Press to Impress,Intermediate
Brass Class,"Brass sheets: the golden ticket to advanced machinery.","Brass Sheet x1","Brass Block x1",Press to Impress,Intermediate
Golden Touch,"Gold sheets: for when you want your machines to really shine.","Golden Sheet x1","Heart of the Sea x1",Press to Impress,Intermediate
Go with the Flow,"Start your fluid engineering journey with pipes and pumps. Splish splash!","Fluid Pipe x8, Mechanical Pump x1","Cuckoo Clock x1, Slime Ball x4",Sheet Happens,Intermediate
Valve Maestro,"Take control! Fluid valves let you direct the flow like a true conductor.","Fluid Valve x1","Green Valve Handle x1, Red Valve Handle x1",Go with the Flow,Intermediate
Pipe Dreamer,"Smart pipes: for when you want your fluids to think for themselves.","Smart Fluid Pipe x1","Fluid Pipe x4",Go with the Flow,Intermediate
Tank You Very Much,"Fluid tanks: store all the juice your machines need!","Fluid Tank x4","Fluid Pipe x4",Go with the Flow,Intermediate
Spout About,"Spouts: fill bottles, buckets, or anything you want with style!","Spout x1","Item Drain x1",Go with the Flow,Intermediate
Hose Hero,"Hose pulleys: move fluids up, down, and all around. Splash zone ahead!","Hose Pulley x1","Hand Crank x1",Go with the Flow,Intermediate
Mix Master,"Mix and match with the Mechanical Mixer and Basin. Concoct something amazing!","Mechanical Mixer x1, Basin x1","Chocolate Bucket x1",Sheet Happens,Intermediate
Crafty Contraptions,"Automate everything! Deployers and Mechanical Crafters are your new best friends.","Deployer x1, Mechanical Crafter x3","Mechanical Crafter x1",Mix Master,Intermediate
Super Crafter Supreme,"Build a full crafting array and become a master of automation!","Mechanical Crafter x18","Mechanical Crafter x3",Crafty Contraptions,Intermediate
Field Day,"Mechanical Harvesters: reap what you sow, automatically!","Mechanical Harvester x2","Mechanical Harvester x1",Crafty Contraptions,Intermediate
Lumberjack Bot,"Mechanical Saws: chop wood the easy way (and impress the neighbors).","Mechanical Saw x1","Mechanical Saw x1",Crafty Contraptions,Intermediate
Drill Sergeant,"Mechanical Drills: dig, mine, and tunnel like a pro. No pickaxe required!","Mechanical Drill x1","Cogwheel x4, Sheep Spawn Egg x1",Crafty Contraptions,Intermediate
Stone Age DJ,"Millstones: grind your way to success (and flour).","Millstone x1","Diorite x32",Crafty Contraptions,Intermediate
Fan Club,"Encased Fans: blow, wash, and process your way to cleaner resources.","Encased Fan x1","Honey Bucket x1",Crafty Contraptions,Intermediate
Blaze of Glory,"Blaze Burners: for recipes that are too hot to handle!","Empty Blaze Burner x1","Emerald x1",Mix Master,Intermediate
Funnel Vision,"Funnels and chutes: move items with style and efficiency.","Andesite Funnel x1, Brass Funnel x1, Chute x4","Melon Seeds x8, Totem of Undying x1",Brass Class,Intermediate
Gearbox Groove,"Gearboxes: redirect power and keep your machines in sync.","Gearbox x1","Cogwheel x4",Brass Class,Intermediate
Vertical Vibes,"Vertical gearboxes: power up, power down, power all around!","Vertical Gearbox x1","Cogwheel x4",Gearbox Groove,Intermediate
Pocket Portal,"Portable Storage Interfaces: pass items between contraptions like magic!","Portable Storage Interface x1","Quartz Block x4",Brass Class,Intermediate
Sequence Breaker,"Sequenced Gearshifts: automate complex moves and dance like a robot.","Sequenced Gearshift x1","Ancient Debris x4",Brass Class,Intermediate
Speed Demon,"Rotation Speed Controllers: go fast, go slow, go pro!","Rotation Speed Controller x1","Precision Mechanism x1",Brass Class,Intermediate
Precision Party,"Precision Mechanisms: the secret sauce for super-advanced machines.","Precision Mechanism x1","Precision Mechanism x1",Speed Demon,Intermediate
Arm-y of One,"Mechanical Arms: sort, grab, and move items like a boss.","Mechanical Arm x1","Golden Apple x1",Precision Party,Intermediate
Long Reach Larry,"Extendo Grip: reach for the stars (or just that faraway block).","Extendo Grip x1","Enchanted Book (Unbreaking III) x1",Brass Class,Intermediate
Tunnel Vision,"Brass Tunnels: split and filter items on belts-no traffic jams here!","Brass Tunnel x1","Brass Ingot x2",Brass Class,Intermediate
Vault Hunter,"Item Vaults: store all the loot your machines make!","Item Vault x1","Item Vault x1",Brass Class,Intermediate
Package Party (v6),"Packages: bundle up and ship out your items with style!","Package x2","Depot x1",Vault Hunter,Advanced
Wireless Wizard,"Redstone Links: send signals through the air like a techno-mage.","Redstone Link x2","Transmitter x1",Package Party (v6),Advanced
Signal Superstar,"Transmitters: broadcast your redstone genius to the world.","Transmitter x2","Link Controller x1",Wireless Wizard,Advanced
Show Off!,"Display Links: show off your machine stats and look smart doing it.","Display Link x1","Brass Sheet x2",Signal Superstar,Advanced
Threshold Tactician,"Threshold Switches: automate with perfect timing and precision.","Threshold Switch x1","Redstone Torch x4",Signal Superstar,Advanced
Brain in a Box,"Contraption Controllers: the brains behind every moving marvel.","Contraption Controller x1","Redstone Block x1",Signal Superstar,Advanced
Track Star,"Train Tracks: lay the foundation for your railway empire!","Track x16","Train Signal x2",Signal Superstar,Advanced
Signal Operator,"Train Signals: keep your trains on time and on track.","Train Signal x1","Train Observer x1",Track Star,Advanced
Train Spotter,"Train Observers: detect trains and automate your railway like a pro.","Train Observer x1","Redstone Comparator x2",Signal Operator,Advanced
